2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10000, value=0x016400c6017d 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10001, value=0x016400c6018e 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10002, value=0x016400c6019f 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10003, value=0x016400c601b0 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10004, value=0x016400c601c1 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10005, value=0x016400c601d2 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10006, value=0x016400c601e3 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10007, value=0x016400c601f4 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10008, value=0x016400c60205 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10009, value=0x016400c60216 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000a, value=0x016400c60227 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000b, value=0x016400c60238 
2024-12-17 20:08:58,748 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000c, value=0x016400c60249 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000d, value=0x016400c6025a 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000e, value=0x016400c6026b 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1000f, value=0x016400c6027c 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10010, value=0x016400c6028d 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10011, value=0x016400c6029e 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10012, value=0x016400c602af 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10013, value=0x016400c602c0 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10014, value=0x016400c602d1 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10015, value=0x016400c602e2 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10016, value=0x016400c602f3 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10017, value=0x016400c60304 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10018, value=0x016400c60315 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10019, value=0x016400c60326 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001a, value=0x016400c60337 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001b, value=0x016400c60348 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001c, value=0x016400c60359 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001d, value=0x016400c6036a 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001e, value=0x016400c6037b 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1001f, value=0x016400c6038c 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10020, value=0x016400c6039d 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10021, value=0x016400c603ae 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10022, value=0x016400c603bf 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10023, value=0x016400c603d0 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10024, value=0x016400c603e1 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10025, value=0x016400c603f2 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10026, value=0x016400c60403 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10027, value=0x016400c60414 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10028, value=0x016400c60425 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10029, value=0x016400c60436 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002a, value=0x016400c60447 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002b, value=0x016400c60458 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002c, value=0x016400c60469 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002d, value=0x016400c6047a 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002e, value=0x016400c6048b 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1002f, value=0x016400c6049c 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10030, value=0x016400c604ad 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10031, value=0x016400c604be 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10032, value=0x016400c604cf 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10033, value=0x016400c604e0 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10034, value=0x016400c604f1 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10035, value=0x016400c60502 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10036, value=0x016400c60513 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10037, value=0x016400c60524 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10038, value=0x016400c60535 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10039, value=0x016400c60546 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003a, value=0x016400c60557 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003b, value=0x016400c60568 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003c, value=0x016400c60579 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003d, value=0x016400c6058a 
2024-12-17 20:08:58,749 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003e, value=0x016400c6059b 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1003f, value=0x016400c605ac 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10040, value=0x016400c605bd 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10041, value=0x016400c605ce 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10042, value=0x016400c605df 
2024-12-17 20:08:58,750 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10043, value=0x016400c605f0 
